iter	Logloss
0	0.6910759227
1	0.6889351422
2	0.6868943804
3	0.6849922547
4	0.6829498635
5	0.6809199182
6	0.6788552596
7	0.6769077023
8	0.6751417241
9	0.6732761944
10	0.6713957564
11	0.669515181
12	0.6677450397
13	0.6660124449
14	0.6644108286
15	0.6628142752
16	0.6612465911
17	0.6595982199
18	0.6580299761
19	0.6566273094
20	0.6551368913
21	0.6536783791
22	0.6520834559
23	0.650732742
24	0.6498604927
25	0.6483450807
26	0.6469592642
27	0.6457201422
28	0.6444850917
29	0.6432856365
30	0.6420187328
31	0.6410812447
32	0.6398142704
33	0.6385102915
34	0.6373265699
35	0.63599293
36	0.6348315173
37	0.6336110427
38	0.6324608394
39	0.6314665282
40	0.6304936118
41	0.6295162207
42	0.6284913156
43	0.6275612068
44	0.6265592375
45	0.6254868147
46	0.6245273612
47	0.6234754763
48	0.622559883
49	0.6216405564
50	0.620850089
51	0.6197533372
52	0.6189113549
53	0.6180454841
54	0.6171933989
55	0.6164270134
56	0.6160228231
57	0.6152438066
58	0.6143064119
59	0.6135323401
60	0.6126060569
61	0.6118322101
62	0.6110222854
63	0.6103097872
64	0.6094572725
65	0.6088595506
66	0.6081413712
67	0.6077641987
68	0.6070718252
69	0.6065027705
70	0.605734152
71	0.6050478211
72	0.6044597687
73	0.60382077
74	0.6031055289
75	0.6024300722
76	0.6017044644
77	0.6010329887
78	0.6004204872
79	0.5997760748
80	0.5991544105
81	0.5986749398
82	0.5983936547
83	0.5976318639
84	0.5969861059
85	0.5964375701
86	0.5957500316
87	0.5952891786
88	0.5945795634
89	0.5940701249
90	0.5934750208
91	0.5930517861
92	0.5924993297
93	0.592017569
94	0.591451617
95	0.5907987388
96	0.5901796974
97	0.5895866483
98	0.5891800851
99	0.5885572897
100	0.5877678466
101	0.5872783697
102	0.586758793
103	0.5861614206
104	0.5855517116
105	0.5850102629
106	0.5845751461
107	0.584211011
108	0.583626003
109	0.5831105415
110	0.5825378096
111	0.5819231793
112	0.5814209357
113	0.5809443205
114	0.5805793562
115	0.5800568305
116	0.5795935116
117	0.5791512306
118	0.5786693796
119	0.5782160098
120	0.5777149882
121	0.5773128787
122	0.576699683
123	0.5763394949
124	0.5759583622
125	0.5755323553
126	0.575081188
127	0.5747563741
128	0.574222178
129	0.5739085352
130	0.5736108753
131	0.573200647
132	0.5728907582
133	0.5725768948
134	0.5720696382
135	0.5717037304
136	0.5712472791
137	0.5708681377
138	0.5703761843
139	0.5700618735
140	0.5697088833
141	0.569277849
142	0.5686387838
143	0.5684327178
144	0.5680739585
145	0.5676112361
146	0.5672152928
147	0.5669086422
148	0.5666534129
149	0.5663808741
150	0.5660267439
151	0.565807236
152	0.5654531136
153	0.5651845341
154	0.5647121623
155	0.5644809319
156	0.5641784692
157	0.5637039883
158	0.5633358814
159	0.5630071054
160	0.5626352729
161	0.5622404881
162	0.5619842374
163	0.561711748
164	0.561417734
165	0.5610514978
166	0.5608687788
167	0.5605975778
168	0.56024585
169	0.5599012945
170	0.5596839758
171	0.5594103251
172	0.5590502921
173	0.5588315286
174	0.5586967602
175	0.5584349817
176	0.5582523587
177	0.5579938791
178	0.5577446451
179	0.5574835994
180	0.557059142
181	0.5567697572
182	0.5565099009
183	0.5561984751
184	0.5559788731
185	0.5557110429
186	0.5555522327
187	0.5553073694
188	0.5550501303
189	0.5548881249
190	0.5547258364
191	0.5544836741
192	0.5542169404
193	0.5538510033
194	0.5537183903
195	0.5535367877
196	0.553186757
197	0.5528947598
198	0.5527202056
199	0.5524522409
200	0.5522217406
201	0.5519083248
202	0.5518722531
203	0.5517468225
204	0.5515664392
205	0.5514007981
206	0.5510965532
207	0.5507698444
208	0.5507009328
209	0.5505778245
210	0.5503903461
211	0.5501291899
212	0.5498719753
213	0.5496192374
214	0.5495727512
215	0.5492891653
216	0.5489975996
217	0.5486528992
218	0.5484245415
219	0.5482263771
220	0.5480819502
221	0.5478711764
222	0.5477253807
223	0.5473752949
224	0.5471251762
225	0.5468880922
226	0.5468401637
227	0.546546557
228	0.5462843395
229	0.5460609261
230	0.5458465077
